Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
8;V01009;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;78130;LES MUREAUX;16/01/2015;58.76;34.04
8;V01009;ELECTRICITE;CAPTEURS, SONDES;78130;LES MUREAUX;30/10/2017;65.68;32.54
1;V00633;EQUIPEMENT ATELIER;OUTILLAGE;95150;TAVERNY;23/02/2017;26.55;23.50
7;V01044;FILTRATION;FILTRE HABITACLE;95480;PIERRELAYE;06/07/2016;19.75;25.62
1;V00177;FILTRATION;FILTRE A HUILE;95280;JOUY LE MOUTIER;31/03/2017;5.95;29.41
7;V01117;DIVERS;DIVERS 0;95450;SAGY;23/06/2016;81.98;34.48
5;V00424;FILTRATION;FILTRE A HUILE;;;24/04/2017;6.18;29.61
5;V00411;DIVERS;BAGUE, JOINT;;;04/04/2016;7.20;46.25
7;V00465;EQUIPEMENT ATELIER;CONSOMABLE;95520;OSNY;11/04/2017;18.53;37.51
7;V00676;MOTEUR;SUPPORT MOTEUR;95520;OSNY;22/09/2015;-67.30;26.15
1;V01201;INDEFINI;INDEFINI;95520;OSNY;10/10/2017;60;0
1;V00601;EQUIPEMENT ATELIER;OUTILLAGE;95310;ST OUEN L AUMONE;29/01/2015;269.80;30
5;V00411;FILTRATION;FILTRE A HUILE;;;06/07/2016;58.47;34.05
1;V00043;DIRECTION, SUSPENSION, TRANSMISSION;RESSORT;95150;TAVERNY;06/07/2016;171.72;29.16
1;V00937;EMBRAYAGE;KIT EMBRAYAGE;95310;ST OUEN L AUMONE;14/09/2016;183.60;38.33
6;V00601;FILTRATION;FILTRE A HUILE;95310;ST OUEN L AUMONE;20/08/2015;11.87;21.74
6;V00601;FILTRATION;FILTRE A AIR;95310;ST OUEN L AUMONE;09/07/2015;10.33;25.65
1;V00624;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;95310;ST OUEN L AUMONE;21/01/2016;22.80;44.74
1;V00208;29;;78700;CONFLANS STE HONORIN;10/02/2015;292.73;47.27
1;V01201;ENTRAINEMENT;COURROIES;95520;OSNY;27/07/2017;-2.17;62.67
5;V00411;ELECTRICITE;BOUGIE D'ALLUMAGE;;;27/05/2017;15.07;38.35
7;V00739;DIVERS;DIVERS 0;95000;CERGY;31/05/2017;90.56;37.50
5;V00411;ESSUYAGE;;;;31/01/2015;33.53;41.43
7;V00676;FREINAGE;TEMOIN D'USURE;95520;OSNY;02/12/2015;15.23;51.87
5;V00411;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;10/05/2017;11.55;31.60
1;V00105;FILTRATION;FILTRE HABITACLE;95320;SAINT LEU LA FORET;20/12/2017;-30.52;27.69
5;V00411;ELECTRICITE;CAPTEURS, SONDES;;;03/10/2016;17.04;38.15
6;V00228;ELECTRICITE;BATTERIE;95300;ENNERY;29/09/2017;-14.40;44.44
8;V00166;ELECTRICITE;RELAIS, FUSIBLE, FAISCEAU, CONTACTEUR;95650;PUISEUX PONTOISE;04/05/2015;23.34;31.83
7;V01117;LIQUIDE;HUILE MOTEUR;95450;SAGY;03/04/2017;15.14;37.91
1;V01283;VITRAGE;ABRASIF, MASQUAGE;95420;MAGNY EN VEXIN;13/12/2017;9.46;30.02
5;V00431;FILTRATION;FILTRE HABITACLE;;;29/08/2016;7.09;29.34
1;V00074;ENTRAINEMENT;GALET, POULIE, DAMPER;95250;BEAUCHAMP;05/12/2016;58.30;29.09
8;V00572;VITRAGE;DIVERS VITRAGE 0;95650;PUISEUX PONTOISE;23/10/2015;14.74;5.70
6;V00979;FILTRATION;FILTRE A HUILE;95450;VIGNY;17/10/2017;11.19;36.55
7;V00641;VITRAGE;ABRASIF, MASQUAGE;95650;BOISSY L AILLERIE;21/11/2016;65.37;30.01
5;V00411;27;;;;12/01/2015;12.50;40.48
7;V00740;FILTRATION;FILTRE A CARBURANT;95300;ENNERY;06/10/2016;37.58;21.74
8;V00166;EQUIPEMENT ATELIER;CONSOMABLE;95650;PUISEUX PONTOISE;16/03/2017;1.73;13.29
1;V00043;FREINAGE;PLAQUETTE;95150;TAVERNY;08/11/2016;29.99;54.55
2;V00800;VITRAGE;DIVERS VITRAGE 0;78360;MONTESSON;29/08/2016;177.38;46.75
1;V00937;ENTRAINEMENT;KIT DE DISTRIBUTION, ACCESSOIRES;95310;ST OUEN L AUMONE;04/07/2016;87.21;43
5;V00411;FREINAGE;DISQUE;;;08/08/2017;76.70;41.99
1;V00937;DIVERS;BAGUE, JOINT;95310;ST OUEN L AUMONE;28/07/2016;8.47;35.77
2;V00788;VITRAGE;ABRASIF, MASQUAGE;78650;BEYNES;17/07/2015;42;24
5;V00411;FILTRATION;FILTRE A AIR;;;14/09/2016;41.73;29.36
7;V00464;EMBRAYAGE;HYDRAULIQUE,  EMETTEUR, RECEPTEUR, BUTEE;95301;PONTOISE;28/02/2017;37.90;51.45
8;V01009;ELECTRICITE;CAPTEURS, SONDES;78130;LES MUREAUX;07/09/2016;27.18;38.15
1;V00330;FILTRATION;FILTRE A AIR;95015;CERGY PONTOISE;10/03/2017;21.14;29.33
