Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;27/10/2017;19.43;45.08
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;27/12/2017;0;0
14;D00634;LIQUIDE;HUILE MOTEUR;;;14/04/2017;30.22;37.79
14;D00634;LIQUIDE;HUILE MOTEUR;;;19/05/2017;72.75;38.71
14;D00634;LIQUIDE;HUILE MOTEUR;;;22/05/2017;28.53;38.21
14;D00634;LIQUIDE;HUILE MOTEUR;;;01/06/2017;80.34;38.69
14;D00634;LIQUIDE;HUILE MOTEUR;;;20/06/2017;45.97;38.72
14;D00634;LIQUIDE;HUILE MOTEUR;;;27/06/2017;7.52;37.1
14;D00634;LIQUIDE;HUILE MOTEUR;;;30/06/2017;13.42;38.67
14;D00634;LIQUIDE;HUILE MOTEUR;;;04/10/2017;45.05;39.18
14;D00634;LIQUIDE;HUILE MOTEUR;;;27/10/2017;19.62;38.74
14;D00634;LIQUIDE;HUILE MOTEUR;;;02/11/2017;62.81;40.14
14;D00634;LIQUIDE;HUILE MOTEUR;;;11/12/2017;64.98;29.95
14;D00634;LIQUIDE;HUILE DE BOITE;;;11/04/2017;0;0
14;D00634;LIQUIDE;HUILE DE BOITE;;;03/05/2017;0;0
14;D00634;LIQUIDE;HUILE DE BOITE;;;20/06/2017;15.05;37.54
14;D00634;LIQUIDE;HUILE DE BOITE;;;27/10/2017;12.19;39.62
14;D00634;LIQUIDE;LIQUIDE DE FREIN;;;06/11/2017;13.68;33.33
14;D00634;LIQUIDE;LIQUIDE DE FREIN;;;09/11/2017;5.32;42.86
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;02/05/2017;29.13;39.13
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;09/05/2017;8.25;52.12
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;31/05/2017;7.53;34.26
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;07/06/2017;6.6;40.15
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;31/07/2017;6.19;36.19
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;14/09/2017;10.75;56.74
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;21/09/2017;6.6;40.15
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;10/10/2017;6.6;40.15
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;05/07/2017;29.07;34.16
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;24/07/2017;27.39;47.06
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;03/08/2017;1.33;38.35
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;22/08/2017;2.32;43.1
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;29/08/2017;17.19;38.8
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;01/09/2017;12.09;34.33
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;04/09/2017;112.29;38.46
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;14/09/2017;45.48;38.24
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;20/09/2017;19.01;37.61
14;D00634;EQUIPEMENT ATELIER;CONSOMABLE;;;06/12/2017;4.91;42.77
14;D00634;EQUIPEMENT ATELIER;DIVERS EQUIPEMENT ATELIER;;;07/11/2017;14;21.36
14;D00634;LIQUIDE;HUILE MOTEUR;;;05/05/2017;49.41;40.76
14;D00634;LIQUIDE;HUILE MOTEUR;;;11/05/2017;34.3;38.34
14;D00634;LIQUIDE;HUILE MOTEUR;;;09/06/2017;34.3;38.34
14;D00634;LIQUIDE;HUILE MOTEUR;;;19/06/2017;96.03;38.38
14;D00634;LIQUIDE;HUILE MOTEUR;;;28/06/2017;26.78;38.69
14;D00634;LIQUIDE;HUILE MOTEUR;;;11/07/2017;87.95;36.68
14;D00634;LIQUIDE;HUILE MOTEUR;;;24/07/2017;40.97;41.37
14;D00634;LIQUIDE;HUILE MOTEUR;;;03/08/2017;141.92;39.44
14;D00634;LIQUIDE;HUILE MOTEUR;;;04/09/2017;80.17;39.15
14;D00634;LIQUIDE;HUILE MOTEUR;;;07/09/2017;77.82;40.34
14;D00634;LIQUIDE;HUILE MOTEUR;;;17/11/2017;19.62;38.74
14;D00634;LIQUIDE;HUILE MOTEUR;;;20/11/2017;88.36;39.78
14;D00634;LIQUIDE;HUILE DE BOITE;;;05/05/2017;12.19;39.7
14;D00634;LIQUIDE;HUILE DE BOITE;;;16/10/2017;24.38;39.62
